title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Run Jesus Run a.k.a. The 10 Second Gospel;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;Browser
You Have To Burn The Rope;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;Browser
Angry Birds;6.5;13.5;13;10;Browser
Deep Sleep;0.36666666666666664;;;0.36666666666666664;Browser
Pretentious Game 2;0.08333333333333333;;0.25;0.08333333333333333;Browser
RuneScape;100000;;;;Browser
Pretentious Game 3;0.25;;0.3;0.25;Browser
Dragon Age Journeys: The Deep Roads;1.5;2;;2;Browser
400 Years;0.31666666666666665;;;0.31666666666666665;Browser
Coma;0.4166666666666667;;0.5;0.45;Browser
Dear Esteban;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;Browser
Don't Look Back;0.31666666666666665;;12;1;Browser
Give Up;0.75;;;0.75;Browser
I saw her standing there;0.25;0.3333333333333333;;0.25;Browser
Icy Fishes;;2.5;5;3.5;Browser
Meat Boy;0.6666666666666666;2;6.5;3.5;Browser
No-one Has to Die;0.7666666666666667;;0.9166666666666666;0.8333333333333334;Browser
One Chance;0.25;1;;0.31666666666666665;Browser
Robot Unicorn Attack;0.25;;24;14;Browser
Samorost;0.26666666666666666;0.2833333333333333;0.3;0.26666666666666666;Browser
Seven Deadly Sins;0.35;;0.4166666666666667;0.38333333333333336;Browser
SHIFT;0.25;;16;2;Browser
The Company of Myself;0.5833333333333334;;1;0.6666666666666666;Browser
This is Not a Minimalist Game;0.25;;0.4;0.31666666666666665;Browser
This is the Only Level 3;0.38333333333333336;;;0.38333333333333336;Browser
Tower of Heaven;0.45;;12;2;Browser
Upgrade Complete;0.36666666666666664;;0.6166666666666667;0.48333333333333334;Browser
Cookie Clicker;102.5;;;;Browser
Anne Hathaway: Erotic Mouthscape;0.08333333333333333;;0.05;0.08333333333333333;Browser
Caesar's Day Off;0.016666666666666666;;0.06666666666666667;0.08333333333333333;Browser
Learn to Fly;1;;;1;Browser
Pretentious Game (2014);0.8333333333333334;0.8833333333333333;0.9333333333333333;0.8666666666666667;Browser
I Saw Her, Too, With Lasers;0.35;0.4166666666666667;;0.36666666666666664;Browser
I saw her across the world;0.4166666666666667;;;;Browser
Earn to Die;1.5;;;1.5;Browser
1924;0.08333333333333333;;;0.08333333333333333;Browser
60 Seconds Burger Run;0.08333333333333333;;0.08333333333333333;0.08333333333333333;Browser
:the game:;0.5;;0.4166666666666667;0.43333333333333335;Browser
A Duck Has An Adventure;;;0.25;0.25;Browser
Achievement Unlocked;0.31666666666666665;0.6166666666666667;0.35;0.36666666666666664;Browser
Candy Box!;;15;10;12.5;Browser
Causality;0.3;;;0.3;Browser
Causality 2;0.25;;;0.25;Browser
Click the Frog;0.08333333333333333;;;0.08333333333333333;Browser
Code Fred: Survival Mode;0.08333333333333333;;;0.08333333333333333;Browser
Depict1;;;1;1;Browser
Duck Life;0.5166666666666667;;;0.5166666666666667;Browser
Duck Life 2;0.7333333333333333;;0.8;0.7666666666666667;Browser
Dys4ia;0.08333333333333333;;0.08333333333333333;0.08333333333333333;Browser
Elephant Quest;;;1;1;Browser
Enough Plumbers;0.8666666666666667;;;0.8666666666666667;Browser
Every Day the Same Dream;0.25;;0.25;0.25;Browser
Ghostscape;0.36666666666666664;;0.5666666666666667;0.4666666666666667;Browser
Give Up Robot 2;1;;;1;Browser
HUGPUNX;0.08333333333333333;;0.03333333333333333;0.08333333333333333;Browser
Infectonator 2;1.5;;3;2;Browser
Infectonator: World Dominator;;;2;2;Browser
Johnny Upgrade;0.2833333333333333;;0.3333333333333333;0.3;Browser
Karoshi: Suicide Salaryman;0.55;;0.75;0.5833333333333334;Browser
Knights of the Crystals;224;;;;Browser
Martian Middle School Dance;0.08333333333333333;;;0.08333333333333333;Browser
Mushroom Madness 3;;;4.5;4.5;Browser
Mystery IQ Test;0.26666666666666666;;;0.26666666666666666;Browser
Neverending Light: Part 1;0.25;;0.25;0.25;Browser
Ode To Pixel Days;0.36666666666666664;;;0.36666666666666664;Browser
On the Flat Field of a Dream;0.25;;;0.25;Browser
One and One Story;0.25;;0.4;0.25;Browser
One Button Bob;0.08333333333333333;;;0.08333333333333333;Browser
Robot Wants Kitty;0.31666666666666665;0.5833333333333334;;0.36666666666666664;Browser
Sentou Gakuen;;;;;Browser
SHIFT 2;0.4166666666666667;;;0.4166666666666667;Browser
simian.interface;0.25;;;0.25;Browser
Sissy's Magical Ponycorn Adventure;0.08333333333333333;;0.25;0.08333333333333333;Browser
Skrillex Quest;0.25;0.35;;0.2833333333333333;Browser
SkullFace;0.95;;;0.95;Browser
The Great Gatsby - For NES;0.25;;;0.25;Browser
The Visitor;0.25;;0.26666666666666666;0.25;Browser
This Is The Only Level TOO;0.3333333333333333;;;0.3333333333333333;Browser
Unicorrida;;;0.5333333333333333;0.5333333333333333;Browser
Unmanned;0.25;;;0.25;Browser
Vonneguts & Glory;0.08333333333333333;;;0.08333333333333333;Browser
ZE?T;;;172;172;Browser
zOMG!;178;;;;Browser
Achievement Unlocked 2;1;2;1;1.5;Browser
The Cat that Got the Milk;0.08333333333333333;;;0.08333333333333333;Browser
Icarus Proudbottom Teaches Typing!;0.6;0.95;;0.6666666666666666;Browser
Air Pressure;0.08333333333333333;;0.5833333333333334;0.08333333333333333;Browser
Pico's School;0.4166666666666667;;;0.4166666666666667;Browser
Duck Life 3: Evolution;0.85;;;0.85;Browser
The Killer;0.08333333333333333;;;0.08333333333333333;Browser
Those Darn Nipples!;0.08333333333333333;;0.08333333333333333;0.08333333333333333;Browser
Bubsy 3D: Bubsy Visits The James Turrell Retrospective;0.26666666666666666;;;0.26666666666666666;Browser
Covetous;0.08333333333333333;;;0.08333333333333333;Browser
Ute;0.08333333333333333;;;0.08333333333333333;Browser
Candy Box 2;;12;;12;Browser
Sentry Knight;;;3;3;Browser
Anti-Idle: The Game;420;;;420;Browser
Space is Key;0.25;0.25;0.36666666666666664;0.25;Browser
Space Is Key 2;0.2833333333333333;0.25;0.5833333333333334;0.3;Browser
Space is Key Hell;0.25;;0.25;0.25;Browser
Maverick Bird;0.25;;;;Browser
The Republia Times;;;;;Browser
Learn to Fly 2;;2;;2;Browser
Kickstarter Simulator 2015;0.05;;0.25;0.08333333333333333;Browser
Sushi Cat;0.8333333333333334;;;;Browser
Vox Populi, Vox Dei;0.36666666666666664;;;0.36666666666666664;Browser
Howling Dogs;0.4666666666666667;;;0.4666666666666667;Browser
Coming Out Simulator 2014;0.3;;;0.3;Browser
Where is Cat?;;;0.3333333333333333;0.3333333333333333;Browser
Double Dragon;1.5;2.5;2.5;1.5;Commodore 64
Ultima IV: Quest of the Avatar;40;22;47.5;30.5;Commodore 64
Maniac Mansion;2;2;6.5;3;Commodore 64
The Bard's Tale (1985);44.5;24.5;25;31;Commodore 64
The Blues Brothers;0.7833333333333333;;6;1.5;Commodore 64
The Great Giana Sisters;1;;;1;Commodore 64
Wizball;;;1;1;Commodore 64
Summer Games;45;;;45;Commodore 64
Pool of Radiance;37.5;;38;37.5;Commodore 64
Airwolf;;;3.5;3.5;Commodore 64
Impossible Mission (1984);32.5;;;32.5;Commodore 64
World Games;45;;;45;Commodore 64
Winter Games;45;;;45;Commodore 64
Dunjonquest: The Datestones of Ryn;0.85;;;0.85;Commodore 64
Jet Set Radio;7;11;15;8.5;Dreamcast
Sonic Adventure 2;9.5;17.5;43;13.5;Dreamcast
Tomb Raider Chronicles;11.5;12.5;14;12;Dreamcast
Tomb Raider: The Last Revelation;14;18;15;15;Dreamcast
Legacy of Kain: Soul Reaver;11.5;12;15.5;12.5;Dreamcast
Quake III Arena;6.5;11;13;8.5;Dreamcast
Space Channel 5: Part 2;3;3.5;;3;Dreamcast
Sega Bass Fishing;3.5;7;14;6.5;Dreamcast
Crazy Taxi;3;4.5;5;4;Dreamcast
Resident Evil 3: Nemesis;6.5;8.5;10;7.5;Dreamcast
Resident Evil 2;5.5;8;13.5;6.5;Dreamcast
Unreal Tournament;25.5;358;;;Dreamcast
Resident Evil Code: Veronica X;12;13.5;15;12;Dreamcast
Dino Crisis;6.5;8.5;8.5;6.5;Dreamcast
Ikaruga;1.5;;;1.5;Dreamcast
Shenmue;21.5;24;33.5;23;Dreamcast
Phantasy Star Online Episode I & II Plus;20;90.5;;64;Dreamcast
Rayman 2: The Great Escape;8.5;8.5;15;9;Dreamcast
Shenmue II;29.5;30;33;30;Dreamcast
Skies of Arcadia;46;46.5;61;49;Dreamcast
Grandia II;33;35.5;40.5;35.5;Dreamcast
Tony Hawk's Pro Skater 2 (Console/PC);9.5;12;75;15.5;Dreamcast
Spider-Man (2000);10;10;12;10;Dreamcast
Tony Hawk's Pro Skater;5;8.5;17.5;6;Dreamcast
Rez;2;3;;2;Dreamcast
Sonic Adventure;8.5;12;18;11;Dreamcast
Sword of the Berserk: Guts' Rage;3.5;;13.5;5;Dreamcast
The House of the Dead 2;1;2;2;2;Dreamcast
Phantasy Star Online;;;;;Dreamcast
Headhunter;10;8.5;;9.5;Dreamcast
Record of Lodoss War;25;;;25;Dreamcast
Samba de Amigo;;;;;Dreamcast
Sonic Shuffle;11;;;11;Dreamcast
Street Fighter III 3rd Strike: Fight for the Future;1;5.5;10.5;2.5;Dreamcast
Guilty Gear X;0.8;32.5;;5;Dreamcast
Resident Evil Code: Veronica;12.5;12;11;12;Dreamcast
Star Wars Episode I: Racer;13;12.5;15;13.5;Dreamcast
Toy Commander;8;7;;7.5;Dreamcast
Crazy Taxi 2;4;7;;4.5;Dreamcast
Evolution: The World of Sacred Device;40;;;40;Dreamcast
Fur Fighters;15;30;;22.5;Dreamcast
Hydro Thunder;5.5;;2;3.5;Dreamcast
Re-Volt;7.5;17.5;20;14.5;Dreamcast
Silver;12.5;;14;13;Dreamcast
Soulcalibur;0.6;9;52;6;Dreamcast
Spawn: In the Demon's Hand;;;;;Dreamcast
Star Wars Episode I: Jedi Power Battles;4.5;6.5;30;8;Dreamcast
Street Fighter Alpha 3;2;4;24;3.5;Dreamcast
Super Magnetic Neo;7;;;7;Dreamcast
Virtua Tennis 2;9;;12;;Dreamcast
Looney Tunes: Space Race;3.5;;7;5.5;Dreamcast
102 Dalmatians: Puppies to the Rescue;4;5;8.5;6.5;Dreamcast
ChuChu Rocket!;2.5;;12;4.5;Dreamcast
Dave Mirra Freestyle BMX;;;;;Dreamcast
Maken X;8;;7;7;Dreamcast
Marvel vs. Capcom 2;0.7166666666666667;22;179.5;7.5;Dreamcast
Marvel vs. Capcom: Clash of Super Heroes;1.5;4;9.5;4;Dreamcast
Space Channel 5;1.5;;1.5;1.5;Dreamcast
Vigilante 8: 2nd Offense;18.5;25.5;;19.5;Dreamcast
Virtua Tennis;6.5;;24;;Dreamcast
Zombie Revenge;;3;;3;Dreamcast
Cannon Spike;6;;;6;Dreamcast
The Grinch;;;;;Dreamcast
Blue Stinger;9.5;10.5;11.5;9.5;Dreamcast
Bust-a-Move 4;2.5;;3;2.5;Dreamcast
Capcom vs. SNK 2: Mark of the Millennium 2001;0.55;3;;1.5;Dreamcast
Capcom vs. SNK: Millennium Fight 2000;0.3333333333333333;4;;0.9333333333333333;Dreamcast
Capcom vs. SNK: Millennium Fight 2000 Pro;0.4166666666666667;;;0.4166666666666667;Dreamcast
Confidential Mission;;;;;Dreamcast
Cosmic Smash;1;;;1;Dreamcast
Cyber Troopers Virtual-On Oratorio Tangram;5.5;;5;5.5;Dreamcast
D2;8;;8.5;8;Dreamcast
Daytona USA 2001;;;;;Dreamcast
Dead or Alive 2;0.5333333333333333;3.5;6;2;Dreamcast
Dynamite Cop;4.5;2;;3;Dreamcast
Ecco the Dolphin: Defender of the Future;11;8;;9.5;Dreamcast
EGG: Elemental Gimmick Gear;38.5;;19;28.5;Dreamcast
Evolution 2: Far Off Promise;30.5;;;30.5;Dreamcast
Garou: Mark of the Wolves;0.7166666666666667;;6.5;2;Dreamcast
Gauntlet Legends;48.5;38.5;49.5;48;Dreamcast
Giga Wing;0.6;;;0.6;Dreamcast
Illbleed;8.5;8.5;14.5;10.5;Dreamcast
JoJo's Bizarre Adventure (1998);0.8166666666666667;5;6;2;Dreamcast
Metropolis Street Racer;;24;29.5;27;Dreamcast
Mr. Driller;0.8166666666666667;;;0.8166666666666667;Dreamcast
Power Stone;1;3;5.5;3;Dreamcast
Power Stone 2;2.5;3;10;3.5;Dreamcast
Project Justice;1.5;;8;3;Dreamcast
Ready 2 Rumble Boxing: Round 2;1;8;;4.5;Dreamcast
San Francisco Rush 2049;10;14.5;25;17.5;Dreamcast
Seaman;;;25;25;Dreamcast
Sega GT;;;;;Dreamcast
Sega Rally 2;12;;;12;Dreamcast
Silent Scope;0.3;;0.8666666666666667;0.4;Dreamcast
Speed Devils;7;;;7;Dreamcast
The King of Fighters '99;0.95;2;10;3;Dreamcast
The Last Blade 2;1.5;;2;2;Dreamcast
Time Stalkers;;;;;Dreamcast
Tokyo Xtreme Racer;10;;;10;Dreamcast
Twinkle Star Sprites;3;17.5;;8;Dreamcast
Virtua Fighter 3tb;0.25;8;;1.5;Dreamcast
Psychic Force 2;0.9166666666666666;;;0.9166666666666666;Dreamcast
Border Down;0.6666666666666666;;;0.6666666666666666;Dreamcast
Psyvariar 2;;;;;Dreamcast
Giga Wing 2;0.3;;;0.3;Dreamcast
Fighting Vipers 2;0.5;4;;2;Dreamcast
Gundam Side Story 0079: Rise from the Ashes;8.5;;;8.5;Dreamcast
18 Wheeler: American Pro Trucker;1;;3;2;Dreamcast
Virtua Fighter 3;0.6666666666666666;;1;0.7666666666666667;Dreamcast
Carrier;15.5;;10;12.5;Dreamcast
Evil Dead: Hail to the King;7.5;8.5;;8.5;Dreamcast
Floigan Brothers: Episode 1;2;2;;2;Dreamcast
NFL 2K1;;;;;Dreamcast
Ready 2 Rumble Boxing (Console);6;;15;11;Dreamcast
Street Fighter III 2nd Impact: Giant Attack;0.9666666666666667;4;;1.5;Dreamcast
Street Fighter III: New Generation;0.5166666666666667;4;7;1;Dreamcast
Test Drive 6;7.5;14;;10.5;Dreamcast
Ultimate Fighting Championship (DC/PS);;;;;Dreamcast
Under Defeat;1.5;8;;5;Dreamcast
Bomberman Online;;;;;Dreamcast
Charge'n Blast;;;0.6666666666666666;0.6666666666666666;Dreamcast
Millennium Soldier: Expendable;;;;;Dreamcast
Zero Gunner 2;;;;;Dreamcast
What's Shenmue?;0.5333333333333333;;1;0.6166666666666667;Dreamcast
NBA 2K1;;;;;Dreamcast
Pro Pinball Trilogy;;;;;Dreamcast
The Legend of Zelda: A Link to the Past;16;18;19;17.5;Game Boy
Pokémon Red and Blue;28;53;115.5;50;Game Boy
Pokémon Yellow: Special Pikachu Edition;29;48;83;36.5;Game Boy
Pokémon Gold and Silver;30.5;86.5;197;64;Game Boy
Metroid II: Return of Samus;3.5;5;6;5;Game Boy
Pokémon Crystal;32.5;57;193;49.5;Game Boy
The Legend of Zelda: Link's Awakening DX;14.5;15;16.5;15.5;Game Boy
Mega Man 2;2.5;2.5;3.5;3;Game Boy
The Legend of Zelda: Oracle of Seasons;15.5;18;20.5;17.5;Game Boy
Castlevania;3;6;7.5;3.5;Game Boy
Super Mario Land 2: 6 Golden Coins;2.5;3;4;3;Game Boy
Donkey Kong (Game Boy);6;6;6;6;Game Boy
Kirby's Dream Land;0.7833333333333333;1;1.5;0.8833333333333333;Game Boy
The Legend of Zelda: Oracle of Ages;16;19;24.5;20;Game Boy
Double Dragon;1.5;2.5;2.5;1.5;Game Boy
Dragon Warrior;10;15.5;20.5;13.5;Game Boy
Mortal Kombat II;2;9.5;19;3;Game Boy
Dr. Mario;2;;19;2.5;Game Boy
Final Fantasy Legend II;16;16;74;21;Game Boy
Super Mario Land;1;1.5;1.5;1;Game Boy
Contra III: The Alien Wars;1.5;2;0.9666666666666667;1.5;Game Boy
Final Fantasy Adventure;12.5;8;;11.5;Game Boy
Gargoyle's Quest;2.5;3;3;3;Game Boy
Mega Man II (Game Boy);1.5;1.5;2;1.5;Game Boy
Mega Man III (Game Boy);3;3;3;3;Game Boy
Mega Man IV (Game Boy);3;3;3;3;Game Boy
Mega Man V (Game Boy);2.5;2.5;3.5;2.5;Game Boy
Pokémon Trading Card Game;9.5;14.5;29.5;12.5;Game Boy
The Legend of Zelda: Link's Awakening;15;19.5;19.5;19;Game Boy
Donkey Kong Land;2;2.5;4.5;2.5;Game Boy
Final Fantasy Legend III;16;19.5;;18.5;Game Boy
Ninja Gaiden Shadow;0.6;;1.5;0.7;Game Boy
Teenage Mutant Ninja Turtles (1989);2.5;3.5;4;3;Game Boy
Tetris;6.5;13;7;7;Game Boy
DuckTales;1.5;2;2;1.5;Game Boy
Final Fantasy Legend;12;;;12;Game Boy
Kid Icarus: Of Myths and Monsters;2.5;3;3;2.5;Game Boy
Castlevania II: Belmont's Revenge;2;;;2;Game Boy
Castlevania: The Adventure;1.5;;8.5;2;Game Boy
Kirby's Dream Land 2;2.5;3.5;4.5;3;Game Boy
Lock 'n' Chase;0.6;;1.5;0.8166666666666667;Game Boy
Mario's Picross;18;21.5;19.5;19;Game Boy
Teenage Mutant Ninja Turtles: Fall of the Foot Clan;0.5333333333333333;0.43333333333333335;2.5;0.6666666666666666;Game Boy
Wario Land: Super Mario Land 3;4.5;7;11.5;6.5;Game Boy
Yoshi;8.5;;;;Game Boy
Lemmings;20.5;24.5;13.5;21;Game Boy
Yoshi's Cookie;2.5;;7;3.5;Game Boy
Castlevania Legends;1.5;;3;1.5;Game Boy
Donkey Kong Land III;5;7.5;13.5;7;Game Boy
Killer Instinct (Arcade/SNES);0.9833333333333333;;1;0.9833333333333333;Game Boy
Kirby's Block Ball;2;;3;2;Game Boy
Kirby's Pinball Land;0.3333333333333333;;2;1;Game Boy
Mega Man: Dr. Wily's Revenge;2;2.5;3.5;2.5;Game Boy
Operation C;3.5;;0.8;3;Game Boy
Pokémon Pinball;15.5;31;21;20;Game Boy
R-Type;2;;1.5;2;Game Boy
Street Fighter II;2;21;10.5;3.5;Game Boy
The Pagemaster;;;2.5;2.5;Game Boy
Trax;0.38333333333333336;;;0.38333333333333336;Game Boy
Wario Land II;5.5;8.5;13;8.5;Game Boy
Wizards & Warriors X: The Fortress of Fear;0.6833333333333333;;;0.6833333333333333;Game Boy
Battletoads;4;5;6.5;4.5;Game Boy
Gremlins 2: The New Batch (NES/GB);2;1;;1.5;Game Boy
Jurassic Park 2: The Chaos Continues;;;;;Game Boy
Mole Mania;6.5;12.5;11.5;11;Game Boy
Toy Story;1.5;2;1.5;1.5;Game Boy
Teenage Mutant Ninja Turtles II: Back from the Sewers;3;;;3;Game Boy
Adventure Island II;2;;2.5;2;Game Boy
Alleyway;2.5;;5.5;3.5;Game Boy
Asterix;0.9;;;0.9;Game Boy
Balloon Kid;1;;;1;Game Boy
Baseball;0.5833333333333334;;3;1.5;Game Boy
Batman: Return of the Joker;0.9166666666666666;;3.5;1.5;Game Boy
Batman: The Video Game;1.5;;2;2;Game Boy
Battle Arena Toshinden;0.4;;;0.4;Game Boy
Bomberman GB;4.5;;;4.5;Game Boy
BurgerTime Deluxe;2;;;2;Game Boy
Catrap;;;9;9;Game Boy
Darkwing Duck (Capcom);1;;2.5;1;Game Boy
Donkey Kong Land 2;5.5;17;9;10;Game Boy
Double Dragon II (Game Boy);1.5;;;1.5;Game Boy
DuckTales 2;1.5;1;2;1.5;Game Boy
F-1 Race;3.5;;6;5;Game Boy
Game & Watch Gallery;1.5;;6.5;5;Game Boy
Game & Watch Gallery 2;;;;;Game Boy
Harvest Moon GB;;;;;Game Boy
James Bond 007;4;;;4;Game Boy
Kaeru no Tame ni Kane wa Naru;5;;5;5;Game Boy
Kid Dracula;2;;1;1.5;Game Boy
Kirby's Star Stacker;10;20;40;21.5;Game Boy
Looney Tunes;2;;;2;Game Boy
Nemesis;0.6166666666666667;;;0.6166666666666667;Game Boy
Nintendo World Cup;;;;;Game Boy
Pinocchio;0.55;;2.5;1.5;Game Boy
R-Type II;0.48333333333333334;;;0.48333333333333334;Game Boy
Revenge of the 'Gator;;;;;Game Boy
RoboCop;0.8666666666666667;;0.9;0.8833333333333333;Game Boy
Solar Striker;0.4666666666666667;2.5;;0.6666666666666666;Game Boy
Speedy Gonzales;2;;;2;Game Boy
Sword of Hope;;13;;13;Game Boy
Tail 'Gator;1;;;1;Game Boy
Teenage Mutant Ninja Turtles III: Radical Rescue;2.5;;3;3;Game Boy
Terminator 2: Judgment Day;1.5;;1;1.5;Game Boy
Tetris Attack;5;13.5;;8;Game Boy
The Bugs Bunny Crazy Castle;4.5;;;4.5;Game Boy
The Little Mermaid;0.7833333333333333;4;0.4;0.9666666666666667;Game Boy
Tom and Jerry (1992);;;;;Game Boy
V-Rally Championship Edition;;;7;7;Game Boy
Wario Blast: Featuring Bomberman!;3;;;3;Game Boy
Mr. Chin's Gourmet Paradise;;;;;Game Boy
Trip World;0.6166666666666667;;0.25;0.5833333333333334;Game Boy
Bonk's Revenge (Game Boy);1;;;1;Game Boy
Pocket Bomberman;3.5;;;3.5;Game Boy
Tamagotchi;;;;;Game Boy
Mercenary Force;0.9166666666666666;;;0.9166666666666666;Game Boy
The Smurfs (1993);;;;;Game Boy
New Ghostbusters II;0.6166666666666667;;;0.6166666666666667;Game Boy
The Amazing Spider-Man 2 (1992);;;;;Game Boy
Battle Unit Zeoth;0.5333333333333333;;;0.5333333333333333;Game Boy
Adventure Island;2;;;2;Game Boy
Burai Fighter;0.8166666666666667;;;0.8166666666666667;Game Boy
Mortal Kombat (Original);1;15;3;2.5;Game Boy
Rolan's Curse;1.5;;;1.5;Game Boy
Side Pocket;2;;;2;Game Boy
Avenging Spirit;3;;1.5;2;Game Boy
Bart Simpson's Escape from Camp Deadly;1;;0.8;0.9;Game Boy
Batman (Game Boy);1;;;1;Game Boy
Boxxle;;;24;24;Game Boy
Bubsy II;2;;6;5;Game Boy
Daedalian Opus;10;;;10;Game Boy
Fortified Zone;0.8666666666666667;;1.5;1;Game Boy
Hugo (Game Boy);;;3.5;3.5;Game Boy
Jurassic Park (NES/GB);3;;;3;Game Boy
Maru's Mission;0.7666666666666667;;0.7666666666666667;0.7666666666666667;Game Boy
Mickey's Dangerous Chase;0.75;;;0.75;Game Boy
Milon's Secret Castle;4;;;4;Game Boy
Motocross Maniacs;;;2;2;Game Boy
Penguin Wars;0.25;0.5;0.3333333333333333;0.3;Game Boy
Quarth;1.5;;4;2.5;Game Boy
Radar Mission;;2.5;;2.5;Game Boy
Snoopy's Magic Show;3;;;3;Game Boy
The Bugs Bunny Crazy Castle 2;4.5;;;4.5;Game Boy
The Simpsons: Bart vs. The Juggernauts;2.5;;;2.5;Game Boy
Tiny Toon Adventures: Babs' Big Break;1;;2;1.5;Game Boy
Wave Race;2.5;;;2.5;Game Boy
WWF Superstars (GB);;;;;Game Boy
WWF Superstars 2;0.3333333333333333;;;0.3333333333333333;Game Boy
Bonk's Adventure (Game Boy);0.8;;;0.8;Game Boy
Tiny Toon Adventures 2: Montana's Movie Madness;;;;;Game Boy
The Rugrats Movie;7;;;7;Game Boy
Mysterium;2;6.5;;4.5;Game Boy
Batman: The Animated Series;2.5;;;2.5;Game Boy
Who Framed Roger Rabbit (1991);1.5;;;1.5;Game Boy
The Real Ghostbusters;3;;;3;Game Boy
Prince of Persia: The Sands of Time;9;10;12;9.5;Game Boy Advance
Doom II: Hell on Earth;7;9;13;8.5;Game Boy Advance
Final Fantasy VI (Final Fantasy III NA);34;41;66.5;41.5;Game Boy Advance
The Legend of Zelda: A Link to the Past;16;18;19;17.5;Game Boy Advance
Tom Clancy's Splinter Cell;12.5;14.5;14.5;13;Game Boy Advance
Pokémon Red and Blue;28;53;115.5;50;Game Boy Advance
Metroid Fusion;5;5.5;7;5.5;Game Boy Advance
Final Fantasy IV (3D);32;39;55;37;Game Boy Advance
Wolfenstein 3D;7;10;11;8;Game Boy Advance
Final Fantasy V;35;36.5;65;38;Game Boy Advance
Pokémon Yellow: Special Pikachu Edition;29;48;83;36.5;Game Boy Advance
The Legend of Zelda;9;10.5;13.5;10;Game Boy Advance
Final Fantasy II;26;32;43.5;30;Game Boy Advance
Final Fantasy;17.5;24;34;21.5;Game Boy Advance
Pokémon Gold and Silver;30.5;86.5;197;64;Game Boy Advance
Fire Emblem;26.5;38.5;56;30;Game Boy Advance
Kingdom Hearts Re:Chain of Memories;24;33;43.5;28.5;Game Boy Advance
Metroid: Zero Mission;4.5;5;6;5;Game Boy Advance
Pokémon Crystal;32.5;57;193;49.5;Game Boy Advance
Pokémon FireRed and LeafGreen;30;55.5;161.5;46;Game Boy Advance
Mario & Luigi: Superstar Saga;18.5;20.5;30;20;Game Boy Advance
Metroid;8;9;10.5;9;Game Boy Advance
The Legend of Zelda: The Minish Cap;15;19.5;27.5;18.5;Game Boy Advance
Castlevania: Aria of Sorrow;7;8;14.5;8.5;Game Boy Advance
Castlevania: Dawn of Sorrow;11;14;27.5;14.5;Game Boy Advance
The Legend of Zelda: Link's Awakening DX;14.5;15;16.5;15.5;Game Boy Advance
Doom;4;5;8;4.5;Game Boy Advance
Fire Emblem: The Sacred Stones;26;33.5;43.5;29;Game Boy Advance
Super Mario Bros. 3;5;5.5;6;5;Game Boy Advance
Zelda II: The Adventure of Link;11;12.5;13;12;Game Boy Advance
The Legend of Zelda: Oracle of Seasons;15.5;18;20.5;17.5;Game Boy Advance
Final Fantasy Tactics Advance;48;79;130;65;Game Boy Advance
Pokémon Ruby and Sapphire;37.5;76.5;260.5;67;Game Boy Advance
Super Mario Bros.;1.5;2;2.5;2;Game Boy Advance
Super Mario World;5.5;7.5;10.5;7.5;Game Boy Advance
Castlevania;3;6;7.5;3.5;Game Boy Advance
Golden Sun;22;25;26.5;24.5;Game Boy Advance
Castlevania: Harmony of Dissonance;8;9;19;10.5;Game Boy Advance
Pokémon Emerald;30;61.5;157.5;46.5;Game Boy Advance
Super Mario Land 2: 6 Golden Coins;2.5;3;4;3;Game Boy Advance
Super Mario World 2: Yoshi's Island;7.5;11;15;9.5;Game Boy Advance
Tales of Phantasia;31.5;40;53.5;37.5;Game Boy Advance
Donkey Kong (Game Boy);6;6;6;6;Game Boy Advance
Donkey Kong Country 2: Diddy's Kong Quest;5.5;7.5;9.5;7;Game Boy Advance
Kirby's Dream Land;0.7833333333333333;1;1.5;0.8833333333333333;Game Boy Advance
